descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-11,0.1660502702358318
close long,276.3491516113281,0.08109341561794281,0.6938534379005432,0.15721340773413026,-0.07516791628313174,0.232381324017262,2024-02-12,0.3984315942530938
short,281.1076965332031,0.08236975222826004,0.7028843760490417,0.017219321623131546,0.015739090536406347,0.0,2024-02-13,0.3984315942530938
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-14,0.3984315942530938
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-15,0.3984315942530938
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-16,0.3984315942530938
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-17,0.3984315942530938
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-18,0.3984315942530938
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-19,0.3984315942530938
close short,272.878173828125,0.08937105536460876,-0.21093203127384186,-0.02927533755414659,0.08499847270326819,0.11427381025741477,2024-02-20,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-21,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-22,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-23,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-24,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-25,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-26,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-27,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-28,0.5127054045105086
long,297.2310485839844,0.11662989109754562,-1.5119653940200806,0.0892444947656322,0.3050074279835734,0.0,2024-02-29,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-02,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-03,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-04,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-05,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-06,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-07,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-08,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-09,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-10,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-11,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-12,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-13,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-14,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-15,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-16,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-17,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-18,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-19,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-20,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-21,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-22,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-23,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-24,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-25,0.5127054045105086
